filename,words
1096.jpg,fasci-
1097.jpg,colo
1098.jpg,personalegiusta disposizione
1099.jpg,ar -
1100.jpg,tito
1101.jpg,dal Ministerosi
1102.jpg,prega
1103.jpg,comunicare
1104.jpg,informazioni
1105.jpg,e
1106.jpg,quant
1107.jpg,altro
1108.jpg,risulta
1109.jpg,sul
1110.jpg,suo
1111.jpg,conto
1112.jpg,in
1113.jpg,cotesti
1114.jpg,attispecificandole
1115.jpg,le
1116.jpg,conizioni
1117.jpg,economiche
1118.jpg,e
1119.jpg,se
1120.jpg,ritenuto
1121.jpg,in grado
1122.jpg,di
1123.jpg,mantenersi
1124.jpg,a
1125.jpg,proprie spese
1126.jpg,in
1127.jpg,questo Campo
1128.jpg,di
1129.jpg,Concentramento
1130.jpg,IL
1131.jpg,COMMISSARIO
1132.jpg,AGG .DI
1133.jpg,P S
1134.jpg,Hugo
1135.jpg,p. c.
1136.jpg,veni
1137.jpg,imp
1138.jpg,imp
1139.jpg,.-
1140.jpg,R.
1141.jpg,QUESTURA
1142.jpg,DI
1143.jpg,MILANO
1144.jpg,Divisione
1145.jpg,N.
1146.jpg,di
1147.jpg,0012908
1148.jpg,Str.
1149.jpg,Milano
1150.jpg,31/5/1941 .XIX
1151.jpg,Risposta
1152.jpg,a
1153.jpg,nota
1154.jpg,Allegati
1155.jpg,OGGETTO
1156.jpg,Neubauer
1157.jpg,Ugo
1158.jpg,Qi
1159.jpg,Salomone
1160.jpg,Ebreo germanico
1161.jpg,Al
1162.jpg,Direttore
1163.jpg,del
1164.jpg,Campo
1165.jpg,di
1166.jpg,Concentramento
1167.jpg,di
1168.jpg,Urbisaglia
1169.jpg,e
1170.jpg,p.c.
1171.jpg,Alla Regia
1172.jpg,Questura
1173.jpg,di
1174.jpg,Macerata
1175.jpg,In
1176.jpg,data
1177.jpg,odierna
1178.jpg,ho
1179.jpg,concesso
1180.jpg,permesso
1181.jpg,valido
1182.jpg,giorni
1183.jpg,quattro
1184.jpg,alla
1185.jpg,Signora
1186.jpg,Scholka
1187.jpg,Ermine
1188.jpg,per
1189.jpg,visitare
1190.jpg,il
1191.jpg,ma
1192.jpg,rito
1193.jpg,costà
1194.jpg,internato.
1195.jpg,-
1196.jpg,Ia predetta aprtirà il
1197.jpg,4
1198.jpg,giugno prossimo seguendo
1199.jpg,l'itenerario
1200.jpg,Milano
1201.jpg,Bologna
1202.jpg,-Macerata
1203.jpg,e
1204.jpg,viceversa.
1205.jpg,Il
1206.jpg,Questore
1207.jpg,Gab.
1208.jpg,prot.
1209.jpg,Direzione
1210.jpg,del
1211.jpg,Campo
1212.jpg,di
1213.jpg,concentramento
1214.jpg,di
1215.jpg,UrbisagLia
1216.jpg,B.
1217.jpg,N
1218.jpg,122
1219.jpg,di   protocollo
1220.jpg,Risposta
1221.jpg,a
1222.jpg,nota
1223.jpg,N.0012908
1224.jpg,str. del 15/5/41 /XIX°
1225.jpg,UrbisagLia
1226.jpg,addì
1227.jpg,21/5/41 XIX°
1228.jpg,0ggetto
1229.jpg,Neubauer
1230.jpg,di
1231.jpg,Salomone-ebreo
1232.jpg,Tedesco
1233.jpg,MAG.
1234.jpg,Alla
1235.jpg,R.
1236.jpg,Questura
1237.jpg,di
1238.jpg,Milano
1239.jpg,e.p. c.
1240.jpg,Alla
1241.jpg,R.
1242.jpg,Questura
1243.jpg,di
1244.jpg,Macerata
1245.jpg,Nulla
1246.jpg,osta
1247.jpg,da parte
1248.jpg,di
1249.jpg,questa
1250.jpg,Direzione
1251.jpg,che
1252.jpg,la Sig/ra
1253.jpg,Schmolka
1254.jpg,Herminia
1255.jpg,visiti
1256.jpg,il
1257.jpg,proprio
1258.jpg,marito
1259.jpg,inter=
1260.jpg,nato.
1261.jpg,il
1262.jpg,Direttore
1263.jpg,del Campo
1264.jpg,Commissario
1265.jpg,capo
1266.jpg,i
1267.jpg,P . S.
1268.jpg,(Spetia
1269.jpg,Dott
1270.jpg,Paolo)
1271.jpg,Hugo
1272.jpg,qui
